ROI	structure_id	Structure	GN_Symbol	ARA_abbrev	ontology_volume	centroid_PA	ontology_level	ontology_order_GN_Symbol	ontology_most_child	length_of_bar	start_of_bar	L_Vertex	R_Vertex
55	242	LSN__Lateral_septal_nucleus_left	LSN-L	LS	1.36538325	2.18440296570578	6	LSX-B-STR-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	134	55	235
49	998	FST__Fundus_of_striatum_left	FST-L	FS	0.199931625	1.66695985752629	6	STV-B-STR-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	135	49	229
50	754	OTU__Olfactory_tubercle_left	OTU-L	OT	1.7752095	2.85154771591747	6	STV-B-STR-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	136	50	230
48	56	NAC__Nucleus_accumbens_left	NAC-L	ACB	2.06225325	2.92108482614829	6	STV-B-STR-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	137	48	228
43	780	PAN__Posterior_amygdalar_nucleus_left	PAN-L	PA	0.428787	-1.05776151533279	5	CTS-B-CCX-B-CER-B-GRY-B-BRN-B	1	1	138	43	223
40	131	LAA__Lateral_amygdala_left	LAA-L	LA	0.416377125	-0.36553659287839	5	CTS-B-CCX-B-CER-B-GRY-B-BRN-B	1	1	139	40	220
41	295	BLA__Basolateral_amygdala_left	BLA-L	BLA	0.93875625	-0.286948516987236	5	CTS-B-CCX-B-CER-B-GRY-B-BRN-B	1	1	140	41	221
42	319	BMA__Basomedial_amygdala_left	BMA-L	BMA	0.70276275	-0.0432518753661881	5	CTS-B-CCX-B-CER-B-GRY-B-BRN-B	1	1	141	42	222
45	942	EPF__Endopiriform_nucleus_left	EPF-L	EP	1.330641	0.872961885944445	5	CTS-B-CCX-B-CER-B-GRY-B-BRN-B	1	1	142	45	225
36	583	CLA__Claustrum_left	CLA-L	CLA	0.2465775	2.48675424308787	5	CTS-B-CCX-B-CER-B-GRY-B-BRN-B	1	1	143	36	216
